model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.048751611873556,0.110595238095238,0.07,0.0170626293995859,0.0599999999999999,0.049759586988992,0.05,0.0647824896679301,0.0365,0.0971090889945295
bge-small,recent,title_module_w100_recent,title,module,w100,0.7269007936507935,0.75875,0.61,0.43475,0.4266666666666666,0.8371666666666667,0.306,0.9598333333333332,0.156,0.969
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.0636827683665283,0.1341011904761904,0.09,0.0360625,0.0666666666666666,0.0622899569389844,0.054,0.0746370977791172,0.0395,0.1013554092582982
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.7381091269841269,0.77375,0.635,0.4405833333333333,0.4266666666666666,0.8438333333333332,0.304,0.9565,0.156,0.969
bge-small,recent,diff_file_w100_recent,diff,file,w100,0.0794233494831368,0.1627619047619047,0.13,0.0461657343842698,0.0799999999999999,0.0775280267395542,0.061,0.0908241308970714,0.044,0.1259914748834943
bge-small,recent,diff_module_w100_recent,diff,module,w100,0.717063888888889,0.7533333333333333,0.6,0.41725,0.4283333333333333,0.84175,0.304,0.9565,0.156,0.969
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.1170603250915751,0.1839503968253968,0.13,0.0637555290924856,0.1133333333333333,0.1173906461895592,0.09,0.1477184641043336,0.061,0.1793139123356514
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.7296686507936507,0.7610476190476192,0.595,0.4114166666666666,0.4299999999999999,0.8534166666666667,0.307,0.97625,0.1595,1.0
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.1101653401613641,0.1878650793650793,0.12,0.0480717172902527,0.1166666666666666,0.1147261946566866,0.0969999999999999,0.1441569349107964,0.0669999999999999,0.1782974085569909
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.7416587301587301,0.7696309523809524,0.61,0.4314166666666666,0.4299999999999999,0.8534166666666667,0.309,0.9804166666666666,0.1595,1.0
bge-small,recent,diff_file_w1000_recent,diff,file,w1000,0.1230325627256204,0.2076388888888889,0.145,0.0663676832426832,0.1133333333333333,0.1260260896510896,0.094,0.1476155414210334,0.0735,0.2074190267064812
