model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0344227195383735,0.0845099206349206,0.05,0.0104869180527075,0.0466666666666666,0.0297536473760157,0.044,0.0466060214596205,0.035,0.0707112509158368
bge-small,recent,title_module_w100_recent,title,module,w100,0.4783894486961451,0.5718531746031746,0.445,0.3075674603174603,0.2533333333333333,0.4819047619047619,0.198,0.5872440476190477,0.1405,0.7607996031746032
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.0420212765262936,0.109095238095238,0.07,0.0125459458304853,0.0583333333333333,0.03878923112706,0.0519999999999999,0.0562265460051644,0.0385,0.0841302491690456
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.4762004180839002,0.5678214285714285,0.425,0.2902757936507936,0.2666666666666666,0.5002380952380951,0.2109999999999999,0.6208472222222222,0.144,0.775013888888889
bge-small,recent,diff_file_w100_recent,diff,file,w100,0.0480131157855785,0.1166488095238095,0.065,0.0137208646616541,0.0616666666666666,0.0407425299084338,0.061,0.0670197881356726,0.044,0.1006020259829647
bge-small,recent,diff_module_w100_recent,diff,module,w100,0.4856054941421013,0.5637996031746032,0.41,0.2865674603174603,0.2633333333333333,0.5069940476190475,0.214,0.6359305555555556,0.15,0.8052242063492063
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.0756565872998894,0.1527480158730158,0.095,0.0354615620769839,0.0816666666666666,0.0775751429276777,0.072,0.1047503000718751,0.049,0.1303761573844971
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.4848592261904762,0.5587440476190476,0.375,0.2747698412698413,0.2766666666666666,0.5545873015873016,0.215,0.667,0.1425,0.8094246031746032
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.0734241510052268,0.151922619047619,0.105,0.0406650634775441,0.0783333333333333,0.0686548091764616,0.067,0.0928038491629629,0.0515,0.1282560511835086
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.4834035052910053,0.5493869047619048,0.355,0.2604365079365079,0.2783333333333334,0.5304265873015873,0.223,0.6668333333333334,0.147,0.8293829365079365
bge-small,recent,diff_file_w1000_recent,diff,file,w1000,0.0812776639468381,0.1514980158730158,0.09,0.0361894328581635,0.0866666666666666,0.0846473715160828,0.075,0.1176877936498486,0.053,0.1505352062346838
bge-small,recent,diff_module_w1000_recent,diff,module,w1000,0.4429532123960695,0.5050357142857143,0.315,0.2264365079365079,0.2633333333333333,0.503904761904762,0.206,0.6111249999999999,0.14,0.7847876984126984
bge-small,recent,title_file_all_recent,title,file,all,0.0561763595793028,0.1182956349206349,0.06,0.018609753550543,0.0583333333333333,0.0665770154553049,0.053,0.1008574627857522,0.04,0.129630285239786
bge-small,recent,title_module_all_recent,title,module,all,0.4211448082010582,0.5179880952380952,0.315,0.2175198412698412,0.26,0.5125575396825397,0.196,0.6212003968253968,0.128,0.7526011904761905
bge-small,recent,desc_file_all_recent,desc,file,all,0.0687881508647656,0.1374424603174603,0.08,0.0248959235209235,0.0633333333333333,0.0776751602156013,0.06,0.112307194847636,0.048,0.152649221749183
bge-small,recent,desc_module_all_recent,desc,module,all,0.4204049933862434,0.5144960317460316,0.31,0.2090674603174603,0.2683333333333333,0.5317003968253968,0.201,0.634172619047619,0.1265,0.7336488095238094
bge-small,recent,diff_file_all_recent,diff,file,all,0.0766073402701008,0.1431230158730158,0.075,0.034795359611149,0.08,0.0866102156572357,0.061,0.1023206636522232,0.0465,0.1402412361352957
bge-small,recent,diff_module_all_recent,diff,module,all,0.4218755952380952,0.5117718253968254,0.33,0.2257341269841269,0.2583333333333333,0.4976051587301587,0.199,0.6105059523809524,0.128,0.7328511904761905
bge-small,modn,title_file_w100_modn,title,file,w100,0.0151283549783549,0.0347698412698412,0.03,0.0140378787878787,0.0133333333333333,0.0152878787878787,0.009,0.0156212121212121,0.006,0.0174267676767676
bge-small,modn,title_module_w100_modn,title,module,w100,0.3095925925925926,0.3455575396825396,0.2,0.1579166666666666,0.1633333333333333,0.3632142857142857,0.133,0.4775892857142857,0.0915,0.6306845238095238
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.0135503607503607,0.024595238095238,0.015,0.0116666666666666,0.01,0.0140378787878787,0.008,0.0148257575757575,0.0065,0.017540404040404
bge-small,modn,desc_module_w100_modn,desc,module,w100,0.317828585600907,0.3523095238095237,0.215,0.1745833333333333,0.1566666666666666,0.35375,0.1289999999999999,0.4538392857142856,0.092,0.6319345238095238
bge-small,modn,diff_file_w100_modn,diff,file,w100,0.0209390151515151,0.04125,0.03,0.0187878787878787,0.015,0.0217878787878787,0.013,0.0237424242424242,0.0069999999999999,0.0239924242424242
bge-small,modn,diff_module_w100_modn,diff,module,w100,0.3700531226379441,0.4120793650793651,0.275,0.2212499999999999,0.18,0.4010416666666666,0.145,0.5255059523809524,0.0965,0.6580654761904762
bge-small,modn,title_file_w1000_modn,title,file,w1000,0.017977089775304,0.0302420634920634,0.01,0.0075,0.0133333333333333,0.0204166666666666,0.012,0.0289166666666666,0.0115,0.040698593073593
bge-small,modn,title_module_w1000_modn,title,module,w1000,0.3748889361300075,0.4221825396825396,0.265,0.209672619047619,0.2016666666666666,0.4617559523809523,0.144,0.535922619047619,0.0955,0.6692261904761905
bge-small,modn,desc_file_w1000_modn,desc,file,w1000,0.0157557118807118,0.0271666666666666,0.015,0.0071212121212121,0.0099999999999999,0.0171212121212121,0.011,0.0275757575757575,0.009,0.0321477272727272
bge-small,modn,desc_module_w1000_modn,desc,module,w1000,0.3972782738095237,0.4440436507936507,0.29,0.234672619047619,0.1966666666666666,0.462172619047619,0.152,0.564672619047619,0.0965,0.689345238095238
bge-small,modn,diff_file_w1000_modn,diff,file,w1000,0.0394926827801827,0.0577142857142857,0.035,0.0251666666666666,0.0316666666666666,0.0454090909090909,0.023,0.0479015151515151,0.0135,0.0566893939393939
bge-small,modn,diff_module_w1000_modn,diff,module,w1000,0.3868921957671957,0.4335674603174603,0.285,0.2329166666666666,0.1966666666666666,0.4513392857142857,0.15,0.559047619047619,0.095,0.6676785714285713
bge-small,modn,title_file_all_modn,title,file,all,0.134147550474587,0.2463789682539682,0.16,0.0705215583994608,0.1266666666666666,0.1432795871354308,0.109,0.1851032487679159,0.0844999999999999,0.2389475194782857
bge-small,modn,title_module_all_modn,title,module,all,0.4687751322751323,0.5254920634920635,0.385,0.318797619047619,0.225,0.5223392857142857,0.17,0.6273392857142857,0.106,0.7713869047619047
bge-small,modn,desc_file_all_modn,desc,file,all,0.1352152362599244,0.2654742063492063,0.195,0.0770928620957645,0.1283333333333333,0.1309075697479335,0.11,0.1730397724050975,0.089,0.2361687082779401
bge-small,modn,desc_module_all_modn,desc,module,all,0.4936671626984127,0.5515694444444444,0.395,0.3247499999999999,0.2433333333333333,0.558797619047619,0.175,0.6560892857142858,0.1125,0.8009702380952382
bge-small,modn,diff_file_all_modn,diff,file,all,0.1096666493907777,0.2157301587301587,0.135,0.052405570736453,0.1133333333333333,0.1022393492944963,0.102,0.1338206118786614,0.08,0.2144119664949773
