model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0300425166528601,0.0956706349206349,0.07,0.0136047157854223,0.0466666666666666,0.0194091756648037,0.039,0.0364855413281259,0.031,0.0600886396187242
bge-small,recent,title_module_w100_recent,title,module,w100,0.4211537816515495,0.5065833333333333,0.36,0.25375,0.2383333333333333,0.458595238095238,0.186,0.5768928571428572,0.119,0.7217321428571428
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.0431350778174939,0.1289761904761904,0.09,0.0201939711104874,0.0616666666666666,0.0391943908296572,0.049,0.0552794793522457,0.036,0.0776013048671993
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.4071816326530612,0.4939047619047619,0.365,0.26075,0.21,0.4014642857142857,0.187,0.5785178571428571,0.117,0.7150297619047619
bge-small,recent,comments_file_w100_recent,comments,file,w100,0.0425684468849099,0.1179166666666666,0.085,0.0224329330870279,0.055,0.0360717575049471,0.05,0.0538010282342178,0.0334999999999999,0.0698373257204369
bge-small,recent,comments_module_w100_recent,comments,module,w100,0.4466971726190475,0.524345238095238,0.37,0.2745892857142857,0.2366666666666666,0.4684761904761905,0.187,0.6053095238095237,0.128,0.7876964285714285
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.0807828475067933,0.1884444444444444,0.125,0.0360374209124209,0.1033333333333333,0.0783357163669663,0.085,0.113549114080364,0.063,0.1533681730185019
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.4801872354497354,0.5682857142857142,0.425,0.2856309523809524,0.2683333333333333,0.5488809523809525,0.194,0.6299702380952381,0.1265,0.7756428571428572
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.0902977705611957,0.1919603174603174,0.13,0.0456239316239316,0.0916666666666666,0.0869383012820512,0.086,0.1090254828257333,0.0715,0.154846913745338
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.4802856198034769,0.5614642857142857,0.43,0.303172619047619,0.2583333333333333,0.5322142857142856,0.186,0.6106369047619047,0.126,0.7776488095238093
bge-small,recent,comments_file_w1000_recent,comments,file,w1000,0.1008038834070412,0.2003769841269841,0.135,0.0531509081196581,0.1116666666666666,0.0925808443749233,0.095,0.1189747229378808,0.0745,0.1769936380505459
bge-small,recent,comments_module_w1000_recent,comments,module,w1000,0.5001597883597884,0.5862242063492064,0.455,0.3258809523809523,0.2583333333333333,0.5452619047619048,0.195,0.6542261904761904,0.1285,0.7989821428571429
bge-small,recent,title_file_all_recent,title,file,all,0.0954451458619887,0.2023511904761904,0.145,0.0399398448773448,0.1066666666666666,0.0813203463203463,0.094,0.1246939033189033,0.077,0.1824416664228379
bge-small,recent,title_module_all_recent,title,module,all,0.4155464758125473,0.5131845238095238,0.34,0.2327559523809524,0.2416666666666666,0.504797619047619,0.178,0.6050059523809524,0.113,0.7175238095238095
bge-small,recent,desc_file_all_recent,desc,file,all,0.1131980771984749,0.224486111111111,0.13,0.0391765873015873,0.1266666666666666,0.1068836133647849,0.1229999999999999,0.1587702836142056,0.095,0.2130891730811904
bge-small,recent,desc_module_all_recent,desc,module,all,0.4472151832955404,0.5526269841269841,0.41,0.2933392857142857,0.2333333333333333,0.4867559523809524,0.184,0.5965119047619047,0.115,0.7282738095238096
bge-small,recent,comments_file_all_recent,comments,file,all,0.1261896753697662,0.2713630952380952,0.18,0.0453645299145299,0.1566666666666666,0.1193759009265588,0.1339999999999999,0.1734407779355147,0.1015,0.2467913178926336
bge-small,recent,comments_module_all_recent,comments,module,all,0.4145770833333333,0.5112976190476191,0.37,0.2668809523809524,0.2183333333333333,0.4587559523809523,0.1639999999999999,0.5594702380952381,0.1135,0.7113214285714287
bge-small,modn,title_file_w100_modn,title,file,w100,0.00794508594399,0.03175,0.02,0.0026711036311709,0.0166666666666666,0.005332765799412,0.017,0.0104066472083607,0.0125,0.01476541398284
bge-small,modn,title_module_w100_modn,title,module,w100,0.3045980231959398,0.3868948412698412,0.23,0.1357974941724941,0.2,0.3597697163947164,0.161,0.449761655011655,0.111,0.5859773698523699
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.0115521833195336,0.0388472222222222,0.02,0.0034688030560271,0.0249999999999999,0.0107196497270084,0.022,0.0156732303840775,0.0145,0.0194975818390741
bge-small,modn,desc_module_w100_modn,desc,module,w100,0.3052963656713656,0.3973075396825396,0.245,0.1454128787878787,0.1983333333333333,0.355811383061383,0.1669999999999999,0.478511655011655,0.1145,0.6041162587412586
bge-small,modn,comments_file_w100_modn,comments,file,w100,0.0132233310141582,0.0455059523809523,0.035,0.0061039381911622,0.025,0.0110188461446259,0.02,0.0146532161605749,0.0135,0.0195333841192312
bge-small,modn,comments_module_w100_modn,comments,module,w100,0.2877434090600757,0.3803710317460317,0.245,0.1351030497280497,0.1983333333333333,0.3163689782439782,0.1589999999999999,0.4191013014763015,0.11,0.5706162587412587
bge-small,modn,title_file_w1000_modn,title,file,w1000,0.0298466921702278,0.091547619047619,0.065,0.0205308255364706,0.045,0.0304937710478354,0.032,0.0344148746790064,0.0215,0.0443895497387487
bge-small,modn,title_module_w1000_modn,title,module,w1000,0.3321703695995363,0.4136845238095237,0.255,0.1674267676767677,0.21,0.372511655011655,0.172,0.4892038655788655,0.1155,0.6135403069153069
bge-small,modn,desc_file_w1000_modn,desc,file,w1000,0.032723422679218,0.1103115079365079,0.065,0.0142093081649533,0.06,0.0377116317666299,0.045,0.0483180610852833,0.0339999999999999,0.0646866556486148
bge-small,modn,desc_module_w1000_modn,desc,module,w1000,0.394583042073667,0.4872480158730158,0.35,0.2448151709401709,0.2316666666666666,0.4147333916083916,0.182,0.518128108003108,0.12,0.6437428127428128
bge-small,modn,comments_file_w1000_modn,comments,file,w1000,0.0360334715171318,0.1089027777777777,0.07,0.0184715181771633,0.0549999999999999,0.0424343173934509,0.043,0.0482224963197877,0.032,0.0611779100323564
bge-small,modn,comments_module_w1000_modn,comments,module,w1000,0.3875387997419247,0.4855714285714285,0.35,0.2321485042735042,0.225,0.4075667249417249,0.1779999999999999,0.5066243201243202,0.121,0.6588859751359751
bge-small,modn,title_file_all_modn,title,file,all,0.0675368351637231,0.2066785714285714,0.145,0.0251212729248757,0.11,0.0619463522523564,0.089,0.0849789064639724,0.076,0.1482078192300705
bge-small,modn,title_module_all_modn,title,module,all,0.4232729007104007,0.5173353174603175,0.355,0.2711767676767677,0.2366666666666666,0.4943310994560994,0.177,0.5774796037296037,0.1165,0.7024730963480963
bge-small,modn,desc_file_all_modn,desc,file,all,0.0859997508879482,0.2328809523809523,0.15,0.0281786297430298,0.1233333333333333,0.0845585062230207,0.1079999999999999,0.1129005177901467,0.0885,0.1757847439159455
bge-small,modn,desc_module_all_modn,desc,module,all,0.4725648681565348,0.5866765873015872,0.43,0.3146805555555556,0.2633333333333333,0.5484182206682207,0.187,0.6186596736596737,0.121,0.7470324397824399
bge-small,modn,comments_file_all_modn,comments,file,all,0.0856190366729849,0.2474246031746032,0.165,0.0331863790353717,0.13,0.0808003415340411,0.108,0.1050376746447329,0.092,0.1734121816211085
bge-small,modn,comments_module_all_modn,comments,module,all,0.4881097548285048,0.5908571428571429,0.445,0.3348472222222222,0.2633333333333333,0.5427970085470085,0.19,0.6274038461538461,0.121,0.7369150155400156
bge-large,recent,title_file_w100_recent,title,file,w100,0.0345570187662579,0.0815277777777777,0.05,0.0137072649572649,0.045,0.0314662316849816,0.038,0.0438804712799278,0.0305,0.0753307917927483
bge-large,recent,title_module_w100_recent,title,module,w100,0.4267685185185185,0.513922619047619,0.375,0.2582916666666666,0.2416666666666666,0.4595119047619047,0.183,0.5715595238095239,0.1175,0.7274047619047619
bge-large,recent,desc_file_w100_recent,desc,file,w100,0.04658502160316,0.1326170634920634,0.09,0.0252109293962742,0.065,0.0452420004564401,0.052,0.054965267829164,0.0365,0.0803782441920619
bge-large,recent,desc_module_w100_recent,desc,module,w100,0.3846483134920635,0.4552321428571428,0.29,0.2095416666666666,0.215,0.4179285714285714,0.177,0.5470178571428571,0.12,0.7275297619047619
bge-large,recent,comments_file_w100_recent,comments,file,w100,0.0459984529598753,0.1244424603174603,0.085,0.0182564102564102,0.0699999999999999,0.0515622065913014,0.05,0.0551225698391646,0.035,0.0786773241126689
bge-large,recent,comments_module_w100_recent,comments,module,w100,0.4374053571428571,0.5165912698412698,0.355,0.2562559523809524,0.2316666666666667,0.4678511904761905,0.19,0.6098928571428571,0.1265,0.7806607142857144
bge-large,recent,title_file_w1000_recent,title,file,w1000,0.1002415825662894,0.1987420634920634,0.145,0.0534064685314685,0.1083333333333333,0.1016317649820939,0.0819999999999999,0.1158163165416454,0.0655,0.1747259473831057
bge-large,recent,title_module_w1000_recent,title,module,w1000,0.4895629180839002,0.5687876984126984,0.435,0.3114642857142857,0.2616666666666666,0.5314226190476191,0.196,0.6368869047619048,0.128,0.7757797619047619
bge-large,recent,desc_file_w1000_recent,desc,file,w1000,0.1182803381584133,0.2289623015873015,0.17,0.0720506993006993,0.11,0.1169706097017812,0.1,0.1435755672442388,0.075,0.1807174494596237
bge-large,recent,desc_module_w1000_recent,desc,module,w1000,0.5297194727891156,0.6114126984126984,0.495,0.3619226190476191,0.2716666666666666,0.5530892857142856,0.197,0.6549702380952381,0.128,0.7948154761904762
bge-large,recent,comments_file_w1000_recent,comments,file,w1000,0.1122163022496677,0.2236210317460317,0.15,0.0523893086080586,0.125,0.1148599664224664,0.105,0.1497835289710289,0.0725,0.1940060518542256
bge-large,recent,comments_module_w1000_recent,comments,module,w1000,0.536318287037037,0.6233690476190477,0.495,0.3608809523809524,0.28,0.5768095238095239,0.207,0.6816845238095237,0.1315,0.8121011904761904
