model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0131098859280554,0.0266666666666666,0.02,0.0105756578947368,0.015,0.0141317079463364,0.01,0.0143948658410732,0.0069999999999999,0.0156163570691434
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.0131483401923369,0.0317142857142857,0.025,0.0067271730462519,0.0183333333333333,0.0130099016480595,0.014,0.0188286150983519,0.009,0.0244042729930887
bge-small,recent,title_file_all_recent,title,file,all,0.0082012670565302,0.0133333333333333,0.005,0.005,0.0083333333333333,0.009985380116959,0.0069999999999999,0.0105116959064327,0.004,0.0130116959064327
bge-small,recent,title_module_w100_recent,title,module,w100,0.7844665674603175,0.8588869047619048,0.805,0.6685,0.3133333333333333,0.7526666666666667,0.241,0.8775833333333334,0.1355,0.9770833333333332
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.3545712301587301,0.3528611111111111,0.065,0.0420833333333333,0.3066666666666667,0.7326666666666667,0.229,0.8471666666666667,0.127,0.9365
bge-small,recent,title_module_all_recent,title,module,all,0.1173878968253968,0.1375892857142857,0.035,0.02125,0.0233333333333333,0.045,0.02,0.06125,0.0944999999999999,0.7568333333333334
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.0143829180795125,0.0242499999999999,0.02,0.0106458333333333,0.0133333333333333,0.014125,0.011,0.014984649122807,0.0095,0.0171426728586171
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.0201666570941242,0.0312499999999999,0.025,0.0105964912280701,0.0199999999999999,0.018657529239766,0.016,0.0245873538011695,0.0125,0.0302942251461988
bge-small,recent,desc_file_all_recent,desc,file,all,0.0123637995698466,0.0166031746031746,0.005,0.005,0.0066666666666666,0.0127631578947368,0.01,0.0190215876570859,0.0085,0.0302145701132263
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.785770138888889,0.8610059523809522,0.805,0.6709999999999999,0.3116666666666667,0.7476666666666667,0.243,0.8850833333333332,0.1355,0.9770833333333332
