model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0598650641866634,0.1386924603174603,0.1,0.0356027586996337,0.0633333333333333,0.0606310729099332,0.057,0.0909034068260171,0.0355,0.1051631801045404
bge-small,recent,title_module_w100_recent,title,module,w100,0.5304013227513228,0.5783988095238095,0.4,0.3341666666666666,0.2516666666666667,0.6189166666666667,0.175,0.7074166666666667,0.119,0.9131666666666668
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.0571963360291669,0.1309821428571428,0.095,0.0385253777472527,0.0616666666666666,0.0580872138278388,0.047,0.0715184638278388,0.035,0.0980925551776654
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.5501484126984127,0.6005595238095238,0.415,0.3470833333333333,0.2666666666666666,0.6509999999999999,0.2,0.7857499999999998,0.118,0.9059166666666668
bge-small,recent,comments_file_w100_recent,comments,file,w100,0.0593513239595041,0.1294563492063491,0.09,0.0391944253663003,0.0633333333333333,0.0650893146681749,0.05,0.0812226708952812,0.035,0.1020234233991587
bge-small,recent,comments_module_w100_recent,comments,module,w100,0.5242736441798941,0.5707242063492063,0.38,0.3191666666666666,0.255,0.6304166666666667,0.1929999999999999,0.76225,0.118,0.90275
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.1356710883497582,0.2341428571428571,0.155,0.0722409401260504,0.115,0.1362464238580047,0.105,0.1955333841651856,0.0735,0.2467703993558773
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.6121621031746032,0.6564126984126983,0.5,0.4191666666666666,0.295,0.7134999999999999,0.201,0.7968333333333333,0.119,0.9075833333333332
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.162789817540171,0.2674404761904762,0.18,0.0825572916666666,0.1383333333333333,0.1770673770469726,0.1139999999999999,0.2233548354166081,0.0825,0.2811654311933804
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.6099176587301588,0.651015873015873,0.48,0.3941666666666667,0.295,0.6980833333333334,0.208,0.8114166666666667,0.123,0.93825
bge-small,recent,comments_file_w1000_recent,comments,file,w1000,0.1746737426589225,0.2913571428571428,0.21,0.0976367734593837,0.1466666666666666,0.1793561697990006,0.11,0.2186817253096665,0.0835,0.3086081945148121
bge-small,recent,comments_module_w1000_recent,comments,module,w1000,0.6473744047619049,0.6935972222222222,0.535,0.4441666666666667,0.3,0.7239166666666667,0.214,0.8430833333333334,0.1255,0.9534166666666668
bge-small,recent,title_file_all_recent,title,file,all,0.1126681574132727,0.1813373015873016,0.085,0.0258242540494458,0.115,0.1206262055497429,0.1,0.1895013893732723,0.0715,0.2627414697532504
bge-small,recent,title_module_all_recent,title,module,all,0.4883551917989418,0.5415059523809523,0.37,0.3004166666666666,0.2383333333333333,0.5780833333333333,0.175,0.6961666666666667,0.1075,0.8325833333333332
bge-small,recent,desc_file_all_recent,desc,file,all,0.1490605938250858,0.2080396825396825,0.1,0.0520749999999999,0.1116666666666666,0.1441514686853002,0.1,0.2021988693797676,0.087,0.3405907379882124
bge-small,recent,desc_module_all_recent,desc,module,all,0.5536461640211641,0.6034325396825397,0.46,0.39375,0.2466666666666666,0.6043333333333334,0.181,0.7284999999999999,0.1125,0.8739166666666667
bge-small,recent,comments_file_all_recent,comments,file,all,0.1460431990206558,0.2372023809523809,0.135,0.0574738076208744,0.1183333333333333,0.1478968711941298,0.11,0.2143026967970222,0.0855,0.3022912490580249
bge-small,recent,comments_module_all_recent,comments,module,all,0.5660402777777778,0.6249126984126984,0.47,0.3975,0.2583333333333333,0.6318333333333332,0.1939999999999999,0.7709999999999999,0.11,0.86075
bge-small,modn,title_file_w100_modn,title,file,w100,0.0242317398895142,0.0559305555555555,0.035,0.0130386178861788,0.0283333333333333,0.0284748280175109,0.021,0.0360967792370231,0.013,0.0458020637898686
bge-small,modn,title_module_w100_modn,title,module,w100,0.5352697467876039,0.602376984126984,0.435,0.345922619047619,0.2716666666666666,0.6390178571428571,0.191,0.7297797619047618,0.1165,0.8502916666666667
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.0173460402724775,0.0483035714285714,0.025,0.0059552845528455,0.0216666666666666,0.0188914946841776,0.019,0.0340134459036898,0.015,0.0461041394919443
