model,split_strategy,experiment_id,source,target,window,MAP,MRR,P@1,R@1,P@3,R@3,P@5,R@5,P@10,R@10
bge-small,recent,title_file_w100_recent,title,file,w100,0.0827310067988639,0.1469365079365079,0.11,0.0453959235209235,0.08,0.0781258091758091,0.065,0.0976175995925995,0.045,0.1223422943422943
bge-small,recent,title_module_w100_recent,title,module,w100,0.7475099206349206,0.7729424603174603,0.66,0.5858333333333333,0.32,0.7970833333333335,0.216,0.8875,0.119,0.9675
bge-small,recent,desc_file_w100_recent,desc,file,w100,0.0910186106840007,0.1738174603174603,0.13,0.0478551587301587,0.09,0.0852444277944278,0.071,0.1150770737520737,0.048,0.142891165135244
bge-small,recent,desc_module_w100_recent,desc,module,w100,0.755875,0.7876150793650794,0.675,0.58625,0.335,0.83625,0.215,0.8883333333333333,0.1185,0.9675
bge-small,recent,diff_file_w100_recent,diff,file,w100,0.0904695491491661,0.1713253968253968,0.13,0.0490199314574314,0.0883333333333333,0.0868317293817293,0.068,0.1061593248343248,0.0484999999999999,0.1398649746590536
bge-small,recent,diff_module_w100_recent,diff,module,w100,0.7365039682539682,0.7714841269841269,0.645,0.55625,0.3283333333333333,0.8245833333333334,0.214,0.8891666666666665,0.1185,0.9675
bge-small,recent,title_file_w1000_recent,title,file,w1000,0.1646696223950336,0.2618134920634921,0.16,0.0668602552418341,0.14,0.1781282006222795,0.111,0.2215962389653179,0.084,0.3078094845351424
bge-small,recent,title_module_w1000_recent,title,module,w1000,0.7364642857142857,0.7517718253968255,0.625,0.5616666666666666,0.325,0.8241666666666666,0.215,0.8845833333333334,0.121,0.98375
bge-small,recent,desc_file_w1000_recent,desc,file,w1000,0.1837163893162106,0.3011607142857143,0.2,0.0754360469426258,0.17,0.1922822204762994,0.1369999999999999,0.245502804059383,0.102,0.3299631916858696
bge-small,recent,desc_module_w1000_recent,desc,module,w1000,0.764437996031746,0.781186507936508,0.655,0.5783333333333334,0.345,0.8591666666666665,0.228,0.93625,0.1215,0.9816666666666666
bge-small,recent,diff_file_w1000_recent,diff,file,w1000,0.2035202242254708,0.3179146825396825,0.21,0.0884568802759592,0.185,0.220087776031855,0.147,0.2703599469165259,0.106,0.350416608882708
bge-small,recent,diff_module_w1000_recent,diff,module,w1000,0.7542455357142858,0.7683174603174604,0.65,0.5783333333333333,0.3283333333333333,0.8208333333333334,0.226,0.93125,0.122,0.9833333333333332
bge-small,recent,title_file_all_recent,title,file,all,0.1334597206272566,0.2232857142857142,0.12,0.057323593073593,0.1133333333333333,0.1478510622635622,0.107,0.2307722609913399,0.0725,0.2821975296041085
bge-small,recent,title_module_all_recent,title,module,all,0.587015873015873,0.626204365079365,0.515,0.4558333333333333,0.245,0.6254166666666666,0.175,0.7379166666666667,0.104,0.8508333333333334
bge-small,recent,desc_file_all_recent,desc,file,all,0.2003202517709456,0.3221825396825397,0.215,0.1009743861618861,0.1716666666666666,0.2119229385258797,0.136,0.2594003549907961,0.1035,0.3576485559735172
bge-small,recent,desc_module_all_recent,desc,module,all,0.6661815476190476,0.6977460317460317,0.585,0.515,0.2783333333333333,0.7116666666666666,0.195,0.82375,0.1125,0.9191666666666668
bge-small,recent,diff_file_all_recent,diff,file,all,0.1933891723392234,0.311297619047619,0.205,0.0953245845745845,0.16,0.2013413028413028,0.141,0.2717682503307503,0.102,0.3509158933658547
bge-small,recent,diff_module_all_recent,diff,module,all,0.6269702380952381,0.6614027777777778,0.545,0.475,0.2616666666666666,0.6708333333333334,0.188,0.7808333333333333,0.111,0.9091666666666668
bge-small,modn,title_file_w100_modn,title,file,w100,0.0237207341269841,0.0546170634920634,0.04,0.0148809523809523,0.0233333333333333,0.0270535714285714,0.015,0.028720238095238,0.0115,0.04625
bge-small,modn,title_module_w100_modn,title,module,w100,0.579151565255732,0.6243095238095238,0.515,0.4390555555555556,0.2583333333333333,0.6292698412698413,0.1909999999999999,0.7462539682539682,0.108,0.8015992063492063
bge-small,modn,desc_file_w100_modn,desc,file,w100,0.027390873015873,0.0595555555555555,0.045,0.0155059523809523,0.0266666666666666,0.0303869047619047,0.018,0.0378869047619047,0.011,0.0445535714285714
bge-small,modn,desc_module_w100_modn,desc,module,w100,0.5718191137566138,0.6305952380952381,0.52,0.4335198412698413,0.255,0.6252341269841271,0.186,0.7253015873015873,0.107,0.799218253968254
bge-small,modn,diff_file_w100_modn,diff,file,w100,0.0259861111111111,0.0584285714285714,0.045,0.014672619047619,0.025,0.0245535714285714,0.019,0.0395535714285714,0.012,0.0478869047619047
bge-small,modn,diff_module_w100_modn,diff,module,w100,0.5777476851851852,0.6317321428571429,0.515,0.4351865079365079,0.2633333333333333,0.645234126984127,0.186,0.7295873015873017,0.1065,0.7986626984126985
